Fault ID,Relative Fault Length,StartX,StartY,EndX,EndY,Strike
1562,0.001299,40.7553,13.3776,40.7558,13.3764,157.9126681
1563,0.004304,40.7557,13.3771,40.7542,13.3811,159.9367791
1564,0.002214,40.7522,13.3812,40.7535,13.3794,144.8779337
1565,0.001833,40.7539,13.3822,40.7547,13.3806,154.0357504
1566,0.003114,40.7549,13.3800,40.7536,13.3828,155.6685854
1567,0.001894,40.7546,13.3853,40.7552,13.3835,162.0144814
1568,0.002354,40.7541,13.3877,40.7545,13.3854,170.3866207
1569,0.003917,40.7529,13.3900,40.7511,13.3933,152.0214389
1570,0.000887,40.7507,13.3946,40.7509,13.3937,167.7880019
1571,0.002882,40.7511,13.3930,40.7500,13.3956,157.6062111
1572,0.001580,40.7505,13.3949,40.7509,13.3934,165.4412289
1573,0.000567,40.7497,13.3951,40.7500,13.3946,149.7000129
1574,0.004765,40.7500,13.3951,40.7486,13.3995,162.7826323
1575,0.000727,40.7489,13.3987,40.7491,13.3980,164.450077
1576,0.001830,40.7492,13.3984,40.7497,13.3967,164.015782
1577,0.000864,40.7493,13.3973,40.7495,13.3965,166.3158745
1578,0.000885,40.7502,13.3970,40.7502,13.3962,180
1579,0.000535,40.7503,13.3963,40.7503,13.3958,180
1580,0.000984,40.7499,13.3961,40.7502,13.3951,163.7128906
1581,0.000349,40.7497,13.3953,40.7498,13.3950,162.0144814
1582,0.000754,40.7484,13.3997,40.7486,13.3990,164.450077
1583,0.000831,40.7485,13.4002,40.7484,13.4010,173.0589614
1584,0.000986,40.7478,13.4033,40.7480,13.4023,168.9777045
1585,0.000616,40.7481,13.4024,40.7482,13.4018,170.7801539
1586,0.001083,40.7484,13.4015,40.7482,13.4026,169.9583548
1587,0.001565,40.7481,13.4027,40.7476,13.4041,160.8208492
1588,0.001433,40.7477,13.4046,40.7482,13.4033,159.4648065
1589,0.000755,40.7477,13.4043,40.7474,13.4049,154.0357504
1590,0.000994,40.7468,13.4058,40.7473,13.4050,148.6711028
1591,0.000537,40.7469,13.4059,40.7471,13.4055,154.0357504
1592,0.001478,40.7466,13.4076,40.7468,13.4062,172.0791973
1594,0.000539,40.7468,13.4069,40.7470,13.4064,158.7156864
1595,0.001652,40.7462,13.4084,40.7470,13.4070,150.9029157
1596,0.001206,40.7459,13.4088,40.7466,13.4079,142.8562895
1597,0.001286,40.7465,13.4081,40.7459,13.4093,154.0357504
1598,0.000794,40.7456,13.4100,40.7460,13.4093,150.9029157
1599,0.000999,40.7460,13.4096,40.7456,13.4105,156.5944469
1600,0.000323,40.7455,13.4104,40.7457,13.4101,147.0051191
1601,0.000496,40.7452,13.4110,40.7454,13.4106,154.0357504
1602,0.002138,40.7470,13.4098,40.7461,13.4117,155.2346625
1603,0.002106,40.7461,13.4115,40.7454,13.4134,160.2613562
1604,0.001450,40.7464,13.4109,40.7470,13.4097,154.0357504
1605,0.001038,40.7459,13.4117,40.7463,13.4108,156.5944469
1606,0.001388,40.7457,13.4123,40.7461,13.4110,163.3182111
1607,0.001520,40.7455,13.4124,40.7460,13.4110,160.8208492
1608,0.001461,40.7448,13.4128,40.7455,13.4115,152.3266328
1609,0.001383,40.7452,13.4132,40.7455,13.4119,167.3331982
1610,0.001748,40.7450,13.4151,40.7453,13.4134,170.247943
1611,0.000934,40.7446,13.4140,40.7450,13.4132,154.0357504
1612,0.003702,40.7451,13.4135,40.7444,13.4170,168.9777045
1613,0.000873,40.7443,13.4167,40.7446,13.4159,159.9367791
1614,0.000385,40.7448,13.4147,40.7449,13.4143,166.3158745
1615,0.002483,40.7447,13.4150,40.7440,13.4173,163.4896131
1616,0.001264,40.7433,13.4182,40.7440,13.4172,145.716001
1617,0.000687,40.7435,13.4182,40.7438,13.4176,154.0357504
1618,0.001422,40.7426,13.4184,40.7434,13.4173,144.6898263
1619,0.000695,40.7429,13.4189,40.7432,13.4183,154.0357504
1620,0.000759,40.7431,13.4188,40.7435,13.4181,150.9029157
1621,0.000866,40.7431,13.4191,40.7434,13.4183,159.9367791
1622,0.000547,40.7426,13.4192,40.7429,13.4188,143.8540891
1623,0.001286,40.7426,13.4203,40.7429,13.4191,166.3158745
1624,0.001639,40.7421,13.4207,40.7426,13.4192,162.0144814
1625,0.000732,40.7423,13.4199,40.7426,13.4193,154.0357504
1626,0.000604,40.7427,13.4193,40.7431,13.4188,142.0765355
1627,0.000799,40.7426,13.4207,40.7428,13.4200,164.450077
1628,0.001137,40.7423,13.4212,40.7425,13.4201,169.9583548
1629,0.001130,40.7417,13.4215,40.7420,13.4204,165.1248649
1630,0.001699,40.7421,13.4208,40.7417,13.4224,166.3158745
