Date,Tmax,Tmin
19420612:0900,12.6,9.4
19420613:0900,14,8.9
19420614:0900,9.4,6.7
19420615:0900,9.7,4.6
19420616:0900,9.4,2.3
19420617:0900,11.8,3.6
19420618:0900,12.4,4.8
19420619:0900,11,5.4
19420620:0900,12.6,10.5
19420621:0900,12.8,11.3
19420622:0900,13.2,10.5
19420623:0900,14.4,7
19420624:0900,13.5,6.7
19420625:0900,13.3,7.7
19420626:0900,9.1,6.1
19420627:0900,9.1,2.1
19420628:0900,11.7,5.8
19420629:0900,12.9,10.3
19420630:0900,12.8,9.1
19420701:0900,13.4,10.8
19420702:0900,14.9,11.8
19420703:0900,13.9,11.6
19420704:0900,14.6,9.3
19420705:0900,14.1,10.1
19420706:0900,13.8,10.3
19420707:0900,14.3,7.8
19420708:0900,11.9,4.8
19420709:0900,7.7,2.3
19420710:0900,10.6,5.2
19420711:0900,11,8.3
19420712:0900,12.7,10.6
19420713:0900,13.8,7.7
19420714:0900,8.3,5.7
19420715:0900,10.7,7.2
19420716:0900,8.4,1.3
19420717:0900,7.2,1.8
19420718:0900,9.8,5.4
19420719:0900,11.8,5.1
19420720:0900,8.8,2.8
19420721:0900,12.1,5
19420722:0900,11.7,8.3
19420723:0900,14.9,6.7
19420724:0900,15.4,7.7
19420725:0900,9.4,5
19420726:0900,6.7,4.7
19420727:0900,6.4,4.1
19420728:0900,7.1,4.4
19420729:0900,7.3,5
19420730:0900,7.9,3.7
19420731:0900,8.3,3.3
19420801:0900,7.6,2.8
